Store No,Store Name,Address,Postcode,Latitude,Longitude
126,Hanley Upper Market Square,"14 Upper Market Square, Hanley",ST1 1NS,53.026271,-2.174607
128,Belle Vale,"Unit 37, Belle Vale Shopping Centre, Belle Vale, Liverpool",L25 2RQ,53.390772,-2.858689
129,Tamworth,"11 George Street, Tamworth",B79 7HL,52.633754,-1.691435
130,Haverfordwest,"21 Bridge Street, Haverfordwest",SA61 2AL,51.802912,-4.968856
132,Shrewsbury,"Unit SU3, The Charles Darwin Centre, Shrewsbury",SY1 1BN,52.709613,-2.752576
135,Cwmbran,"17 South Walk, Cwmbran",NP44 1PU,51.652936,-3.021448
137,Scunthorpe High Street,"Unit 66, High Street, The Foundry, Scunthorpe",DN15 6SE,53.593175,-0.645791
138,Morecambe,"Unit 4, 16 Royalty Mall, Arndale Centre, Morecambe",LA4 5DH,54.071856,-2.865685
141,Chelmsford High Chelmer,"Unit 17, Exchange Way, High Chelmer Shopping Centre, Chelmsford",CM1 1XD,51.733979,0.471885
142,Reading,"Unit 19, Broad Street Mall, Reading",RG1 7QE,51.454811,-0.975875
143,Widnes,"6 Albert Road, Widnes",WA8 6JE,53.368393,-2.725609
144,Wythenshawe,"Unit 24, The Birtles Civic Centre, Wythenshawe",M22 5RF,53.380119,-2.261846
147,Wisbech,"Unit 5, Horsefair, Wisbech",PE13 1AR,52.665803,0.161323
150,Beeston,"64b High Road, Beeston",NG9 2LF,52.928189,-1.213097
151,Ramsgate,"Unit 8, 27 High Street, Ramsgate",CT11 9AG,51.334236,1.41847
152,Cowley,"Unit 33, Poundway, Templars Shopping Centre, Cowley",OX4 3XX,51.732057,-1.217309
155,Peterborough  ,"Unit 8, Queensgate, Peterborough",PE1 1NH,52.573493,-0.243906
157,Walthamstow,"Unit 5, Selborne Walk Shopping Centre, Walthamstow",E17 7JR,51.583368,-0.023478
159,Caerphilly 159,"Unit 28, Castle Court Shopping Centre, Caerphilly",CF83 1NU,51.576281,-3.216684
160,Barry,"122 Holton Road, Barry",CF63 4HH,51.406131,-3.266883
161,Erdington,"136 High Street, Central Square Shopping Centre, Erdington",B23 6RS,52.523397,-1.838857
163,Abingdon,"9 Bury Street, Abingdon",OX14 3QX,51.670684,-1.282646
165,Weymouth,"76 St Mary Road, Weymouth",DT4 8PJ,50.609349,-2.45426
166,Grays,"Unit 19, South Mall, Grays Shopping Centre, Grays",RM17 6QF,51.477023,0.324391
167,Kings Heath,"Unit 151A, High Street, Kings",B14 7DG,52.434115,-1.892546
168,Bilston,"96A Church Street, Bilston",WV14 0AX,52.565411,-2.076488
169,Boscombe,"621 Christchurch Road, Boscombe",BH1 4AP,50.726876,-1.837705
170,Mexborough,"Unit 3, 45 High Street, Mexborough",S64 9AB,53.493624,-1.291398
174,Plymstock,"Unit 38, The Broadway Shopping Centre, Plymstock",PL9 7AS,50.360035,-4.090652
176,Dereham,"Unit 2A, Wrights Walk, Dereham",NR19 1TR,52.67932,0.942121
177,Newmarket,"Unit 71, The Guineas Shopping Centre, Newmarket",CB8 8HT,52.245492,0.405882
178,Didcot,"Unit 14, Orchard Centre, Didcot",OX11 7LG,51.607185,-1.238244
179,Harpurhey,"Unit 29, Harpurhey Shopping Centre, Harpurhey",M9 4DH,53.512663,-2.211994
182,Jarrow,"31 Bede Precinct, Jarrow",NE32 3LW,54.980725,-1.48927
184,Ipswich Westgate,"30 Westgate Street, Ipswich",IP1 3EE,52.05875,1.150981
185,Woodley,"120, Crockhamwell Road",RG5 3JH,51.452796,-0.905187
186,Bulwell,"Unit A, 77/79 Market Place, Bulwell",NG6 8QD,53.000422,-1.197317
187,Bransholme,"Unit 7, North Point Shopping Centre, Bransholme",HU7 4EE,53.786382,-0.321728
188,Hayes,"43 Station Road, Hayes",UB3 4BE,51.505695,-0.418772
190,Kidderminster,"83 Worcester Street, Kidderminster",DY10 1EH,52.387739,-2.247859
191,South Shields,"70 King Street, South",NE33 1HZ,54.998323,-1.434868
194,Market Harborough,"Unit 14, St Marys Place Shopping Centre, Market Harborough",LE16 7DR,52.477423,-0.918771
197,Bridgwater,"11A Angel Place Shopping Centre, Bridgwater",TA6 3TQ,51.128771,-3.005753
199,Torquay,"51 Union Street, Torquay",TQ1 1ET,50.466224,-3.528534
200,Dartford,"19 - 21 The Priory Centre, Dartford",DA1 2AR,51.44665,0.215484
201,Beckenham,"134 High Street, Beckenham",BR3 1EA,51.407763,-0.027063
203,Dover,"Unit 3B, Biggin Gate, 11/16 Biggin Street, Dover",CT16 1BD,51.127548,1.309817
204,Eltham,"87 Eltham High Street, Eltham",SE9 1TD,51.45092,0.053597
205,Fareham,"25 Westbury Mall, Fareham Shopping Centre, Fareham",PO16 0PE,50.853213,-1.178028
206,Gosport,"55 High Street, Gosport",PO12 1DR,50.795148,-1.119185
207,Gravesend,"76 New Road, Gravesend",DA11 0AF,51.442269,0.367785
208,Hailsham,"Unit 9, The Quintin Shopping Centre, North Street, Hailsham",BN27 1DP,50.863584,0.258557
209,Harrow,"Unit 3, 30/36 St Anns Road, Harrow",HA1 1LA,51.581595,-0.335297
210,Margate,"Unit 30, The Centre, Margate",CT9 1JG,51.387149,1.381774
212,Poole,"Unit 40, 72 Dolphin Centre, Poole",BH15 1SY,50.71813,-1.979501
213,Portsmouth,"58 London Road, North End",PO2 0LN,50.814653,-1.079568
214,Sidcup,"36 High Street, Sidcup",DA14 6EH,51.425763,0.10398
215,Sutton 127 High Street,"127 - 129 High Street, Sutton",SM1 1JQ,51.363779,-0.193781
216,Sutton 209 High Street,"209 High Street, Sutton",SM1 1JU,51.365612,-0.194283
218,Tonbridge,"Unit 2, The Pavillion, 17 High Street, Tonbridge",TN9 1TE,51.19289,0.27335
219,Woking,"25 Wolsey Walk, Wolsey Place, Woking",GU21 6XX,51.319463,-0.559033
221,Yeovil,"4 - 5 High Street, Yeovil",BA20 1RE,50.941508,-2.633144
224,Letchworth,"17 Commerce Way, Letchworth",SG6 3DN,51.978295,-0.227221
225,Walton Vale,"53/55 Walton Vale, Walton",L9 4RF,53.462989,-2.960161
227,Arnold,"95 Front Street, Arnold",NG5 7EB,53.003566,-1.127979
228,Batley,"79A Commercial Street, Batley",WF17 5EF,53.713831,-1.632422
229,Bedford,"17A, The Harpur Centre",MK40 1TP,52.136075,-0.46927
230,Darlington,"27 Prospect Place, Queen Street, Darlington",DL3 7LG,54.526248,-1.555473
231,Bexleyheath 123 Broadway,"123 The Broadway, Bexleyheath",DA6 7HF,51.45658,0.143789
233,Huyton,"Unit 13, Cavendish Walk, Huyton",L36 9YG,53.412583,-2.839285
234,Grantham,"29 The Pantiles Isaac Newton Centre, Grantham",NG31 6EE,52.910413,-0.642531
235,Northallerton,"104 High Street, Northallerton",DL7 8PP,54.340211,-1.434018
236,Crawley,"16 - 18 The Martlets, Crawley",RH10 1ES,51.114512,-0.186798
237,Stoke,"83 Church Street, Stoke",ST4 1DF,53.00372,-2.185067
238,Rutherglen,"Unit 20, Rutherglen Shopping Centre, Rutherglen",G73 2LS,55.827633,-4.211923
239,Springburn,"17 Springburn Shopping Centre, Springburn",G21 1TS,55.883509,-4.228213
240,Coatbridge,"58 Main Street, Coatbridge",ML5 3AE,55.862279,-4.027288
241,Dudley,"18 - 19 High Street, Dudley",DY1 1PJ,52.510317,-2.0818
242,Grangemouth,"23 La Porte Precinct, Grangemouth",FK3 8AS,56.019269,-3.723091
245,Rotherham,"24 - 26 College Street, Rotherham",S65 1AG,53.431031,-1.355563
246,Trowbridge,"43 The Shires Shopping Centre, Trowbridge",BA14 8AT,51.32033,-2.209053
247,Hounslow,"Unit A(1) 229/231 High Street, Hounslow",TW3 1DJ,51.468481,-0.362886
248,Barrow,"5A Portland Walk, Barrow",LA14 1DB,54.112927,-3.226458
249,Paisley Piazza Centre,"Unit 43, Piazza Shopping Centre, Paisley",PA1 1EL,55.846219,-4.422712
254,Bramley,"Unit 15, Bramley Shopping Centre, Bramley",LS13 2ET,53.811865,-1.626584
255,Nuneaton,"20 - 21 Abbeygate Shopping Centre, Nuneaton",CV11 4EL,52.523302,-1.467648
256,Llanelli St Elli Centre,"Unit 7, Stepney Precinct, Llanelli",SA15 1SH,51.681873,-4.159479
257,Southsea,"14 Palmerston Road, Southsea",PO5 3QH,50.785991,-1.088501
258,Southport Chapel Street,"12/12A Chapel Street, Southport",PR8 1DF,53.646282,-3.00459
260,Clacton Station Road,"29-31 Station Road, Clacton",CO15 1TD,51.789234,1.152862
261,Bognor Regis,"35 London Road Bognor Regis, Bognor",PO21 1PQ,50.784501,-0.673378
262,Shirley Southampton,"47 Shirley High Street, Shirley",SO15 3NN,50.9222,-1.432907
263,Lowestoft,"Unit 1, The Britten Centre, Lowestoft",NR32 1LR,52.476685,1.751675
264,Crewe,"55 Market Street, Crewe, Crewe",CW1 2EY,53.098616,-2.441333
266,Ashington,"17 Station Road, Ashington",NE63 9UZ,55.183424,-1.571125
267,Ebbw Vale,"26 Market Street The Crossing, Ebbw",NP23 6HL,51.779826,-3.207249
270,Middlesbrough Hill Street Centre,"Unit 29, Hill Street Shopping Centre, Middlesbrough",TS1 1TB,54.577299,-1.238556
271,Shipley,"28 Market Square, Shipley",BD18 3QJ,53.833459,-1.777836
274,Kirkby,"48/50 St Chads Parade, Kirkby",L32 8RH,53.48201,-2.886871
275,Wakefield Westgate,"23 Westgate, Wakefield",WF1 1JZ,53.682453,-1.498202
276,Newcastle under Lyme Castle Walk,"Unit 12, Castle Walk, Newcastle",ST5 1AN,53.011363,-2.225252
278,Whitley Bay,"20A Park View Shopping Centre, Whitley",NE26 2TP,55.041801,-1.449232
279,Whitehaven,"30 King Street, Whitehaven",CA28 7JN,54.547906,-3.589641
280,Cleveleys,"40 Victoria Road West Thornton, Cleveleys",FY5 1BU,53.877493,-3.045122
282,Sheffield The Moor,"92 The Moor, Sheffield",S1 4PB,53.375442,-1.474516
283,Chesterfield Market Place,"9 Market Place, Chesterfield",S40 1PP,53.235987,-1.428745
285,Cannon Park Tesco,"Unit 22, Cannon Park District Centre, Cannon",CV4 7EH,52.38783,-1.554867
286,Worksop,"27 Bridge Place, Worksop",S80 1DT,53.305931,-1.123606
289,Plymouth 92 New George Street,"92 New George Street, Plymouth",PL1 1RX,50.371554,-4.145641
292,Neath,"9A Green Street, Neath",SA11 1DR,51.663114,-3.804632
293,Stockport Merseyway,"Unit 95 & 97, Merseyway, Merseyway Shopping Centre",SK1 1QN,53.410463,-2.161917
294,Skelmersdale,"26 The Concourse, Southway, Skelmersdale",WN8 6ND,53.549935,-2.773401
295,Ammanford,"29 Quay Street, Ammanford",SA18 3BS,51.791747,-3.987635
296,Evesham,"35a Bridge Street, Evesham",WR11 4SQ,52.092463,-1.94594
299,Farnworth,"41 Brackley Street, Farnworth",BL4 9DS,53.547578,-2.394587
300,Buxton,"Unit 18, Spring Gardens Centre, Buxton",SK17 6DF,53.25962,-1.911905
302,Kirkintilloch,"69 Cowgate, Kirkintilloch",G66 1HW,55.940582,-4.157878
303,Earlestown,"14 - 16 Market Street, Earlestown",WA12 9AN,53.452212,-2.640901
306,Norwich St Stephens,"34 St Stephens Street, Norwich",NR1 3RS,52.620542,1.29254
308,Consett,"55 Middle Street, Consett",DH8 5QG,54.852704,-1.83432
309,Haverhill,"Unit 2, 51 - 53 High Street, Haverhill",CB9 8AH,52.081104,0.441038
313,Durham,"21 Market Place, Durham",DH1 3NJ,54.777159,-1.576033
314,Cleethorpes,"35 St Peters Avenue, Cleethorpes",DN35 8HF,53.559127,-0.030958
316,Kettering,"37 The Mall, Kettering",NN16 8JL,52.401271,-0.727196
317,Telford,"108 The Border Town Centre, Telford",TF3 4AE,52.676814,-2.446044
318,Uttoxeter,"2c Carter Street, Uttoxeter",ST14 8JJ,52.896936,-1.867939
321,Coulby Newham,"Unit 13, Parkway Shopping Centre, Coulby",TS8 0TJ,54.524385,-1.216349
324,Porthcawl,"21 John Street, Porthcawl",CF36 3AP,51.477496,-3.70391
326,Crystal Peaks,"Unit 50E West Mall, Crystal",S20 7PN,53.34168,-1.351832
327,Bishop Auckland,"5 - 7 Newgate Street, Bishop",DL14 7EP,54.664698,-1.674535
328,Long Eaton,"54 High Street, Long",NG10 1LN,52.896949,-1.269199
329,Melton Mowbray,"4 Cheapside, Melton",LE13 0TP,52.764606,-0.887372
330,Ilkeston,"Unit 15, The Albion Centre Bath Street, Ilkeston",DE7 8AG,52.972881,-1.307978
332,Paignton,"32 Victoria Street, Paignton",TQ4 5DN,50.435463,-3.566536
334,Stamford,"Unit 34, (24) High Street, Stamford",PE9 2AY,52.652806,-0.477582
335,Rainham,"Unit 10, Rainham Shopping Centre, Rainham",ME8 7HW,51.364121,0.608023
